id,timesUsed,pageFaultAt,swappedOutAt
29,0,[152 407 553 808],[202 442 597 841]
24,0,[115 182 357 472 537 610 691 812 867],[164 238 407 532 581 663 758 843 935]
21,0,[34 125 192 263 341 393 441 501 607 665 753 822 876],[111 168 240 323 390 432 495 556 660 722 816 864 961]
3,0,[347 893],[396 992]
6,0,[36 156 386 427 581 680 837],[114 203 422 472 626 753 880]
14,0,[30 114 168 234 337 410 469 570 618 713 801 862 935],[110 160 221 300 386 444 531 613 669 781 840 929 1009]
0,0,[90 216 308 444 612],[146 269 348 501 665]
4,0,[58 136 319 439 814],[131 174 357 493 853]
26,0,[45 208 549 660 840],[125 265 589 713 893]
25,0,[2 131 329 381 438 526 626 748 976],[43 170 367 420 488 575 680 813 1023]
7,0,[67 139 186 265 365 432 556 645 722 880],[137 182 239 329 412 478 607 693 794 983]
32,0,[493 828],[553 876]
18,0,[0 43 145 199 274 348 447 510 669 780 864 949],[36 120 192 262 337 402 503 572 739 834 934 1017]
19,0,[38 141 198 264 349 412 458 531 582 649 700 794 845 936],[115 186 258 326 403 447 509 577 629 694 778 839 905 1014]
5,0,[146 258 332 478 589 657 765 923],[198 311 369 538 645 709 823 1004]
10,0,[21 120 179 239 323 367 416 509 575 639 693 778 834 881 1006],[94 165 237 308 364 414 458 570 619 691 765 826 879 986]
17,0,[5 91 170 262 326 368 420 485 554 604 668 751 823 895 1007],[58 149 225 319 365 416 462 543 603 657 736 814 867 996]
9,0,[20 110 158 238 404 462 558 675 755 853 930 1008],[91 157 211 306 441 526 610 740 820 923 1007]
30,0,[1021],[]
13,0,[13 86 160 221 306 364 422 495 572 624 685 773 826 889 992],[82 145 216 297 347 410 469 554 618 678 755 825 875 991]
12,0,[8 94 157 211 273 340 390 433 532 603 663 739 816 879 1009],[67 152 208 268 336 388 429 485 578 656 714 808 862 976]
20,0,[26 111 174 240 311 403 460 543 597 656 709 781 843 934 1017],[96 158 234 310 352 439 510 586 652 706 780 837 902 1008]
22,0,[1 137 218 297 369 475 538 586 652 784 863 983],[38 179 273 340 417 537 582 639 700 838 930]
16,0,[4 82 149 202 268 336 388 429 488 555 613 677 758 838 905 1004],[45 141 199 263 330 381 427 475 552 604 668 748 822 881 1003]
27,0,[64 300 414 505 736 813 999],[136 342 450 560 801 845]
28,0,[203 299 342 591 996],[264 341 393 649]
15,0,[15 96 164 225 303 394 435 499 560 620 678 779 841 902 1003],[90 156 218 299 346 433 486 555 612 677 751 828 895 999]
23,0,[9 269 346 396 442 503 577 629 714 820 872 961 1023],[80 332 394 435 499 558 620 685 784 863 936 1021]
8,0,[14 220 330 402 450 578 694 825 875 986],[86 274 368 438 505 624 773 872 949]
31,0,[740 991],[812]
11,0,[6 80 165 237 310 352 417 486 552 619 706 839 929 1014],[64 139 220 303 349 404 460 549 591 675 779 889 1006]
