id    arriveTime   executionTime   executionTimeLeft   waitTime
240   1            1               0                   0
54    5            1               0                   0
45    5            1               0                   2
88    5            1               0                   1
41    10           1               0                   0
231   11           1               0                   0
176   13           1               0                   0
1     14           1               0                   0
177   16           1               0                   0
210   17           1               0                   0
168   21           1               0                   0
204   24           1               0                   0
93    25           1               0                   0
64    26           1               0                   0
48    27           1               0                   0
132   27           1               0                   1
233   29           1               0                   0
86    31           1               0                   0
202   33           1               0                   0
61    35           1               0                   0
141   36           1               0                   0
128   36           1               0                   1
156   37           1               0                   1
241   47           1               0                   0
97    48           1               0                   0
25    51           1               0                   0
16    54           1               0                   0
206   59           1               0                   0
243   67           1               0                   0
193   68           1               0                   0
84    70           1               0                   0
66    73           1               0                   0
31    75           1               0                   0
169   79           1               0                   0
100   85           1               0                   0
8     86           1               0                   0
154   90           1               0                   0
123   93           1               0                   0
137   93           1               0                   2
36    93           1               0                   1
50    96           1               0                   0
108   97           1               0                   0
227   97           1               0                   1
235   99           1               0                   0
163   101          1               0                   0
38    102          1               0                   0
47    102          1               0                   1
9     103          1               0                   1
27    104          1               0                   1
113   105          1               0                   2
89    105          1               0                   1
112   111          1               0                   0
191   112          1               0                   0
124   113          1               0                   0
94    116          1               0                   0
19    118          1               0                   0
181   119          1               0                   0
135   119          1               0                   2
73    119          1               0                   1
140   123          1               0                   0
101   126          1               0                   0
188   127          1               0                   0
77    127          1               0                   2
4     127          1               0                   1
203   129          1               0                   1
229   132          1               0                   0
173   132          1               0                   1
106   134          1               0                   0
67    134          1               0                   1
224   136          1               0                   0
150   136          1               0                   1
33    137          1               0                   1
143   139          1               0                   0
46    142          1               0                   0
183   146          1               0                   0
209   149          1               0                   0
130   154          1               0                   0
251   157          1               0                   0
144   158          1               0                   0
70    161          1               0                   0
63    166          1               0                   0
157   167          1               0                   0
131   167          1               0                   1
133   174          1               0                   0
55    174          1               0                   1
238   175          1               0                   1
214   176          1               0                   1
219   177          1               0                   3
194   177          1               0                   1
190   178          1               0                   1
165   180          1               0                   1
42    181          1               0                   1
122   184          1               0                   0
53    187          1               0                   0
119   188          1               0                   0
76    189          1               0                   0
178   191          1               0                   0
57    192          1               0                   0
146   196          1               0                   0
117   198          1               0                   0
138   198          1               0                   1
134   201          1               0                   0
5     202          1               0                   0
59    202          1               0                   1
10    205          1               0                   0
136   206          1               0                   0
201   208          1               0                   0
62    209          1               0                   0
51    209          1               0                   1
60    211          1               0                   0
32    211          1               0                   1
34    212          1               0                   1
17    213          1               0                   1
71    214          1               0                   1
252   219          1               0                   0
162   220          1               0                   0
111   220          1               0                   1
43    222          1               0                   0
30    226          1               0                   0
230   229          1               0                   0
65    236          1               0                   0
155   240          1               0                   0
166   242          1               0                   0
104   243          1               0                   0
22    243          1               0                   1
3     244          1               0                   1
236   248          1               0                   0
213   248          1               0                   1
90    250          1               0                   0
247   251          1               0                   0
255   259          1               0                   0
37    261          1               0                   0
244   262          1               0                   0
232   264          1               0                   0
82    266          1               0                   0
102   268          1               0                   0
127   268          1               0                   1
221   272          1               0                   0
68    273          1               0                   0
87    276          1               0                   0
249   277          1               0                   0
174   277          1               0                   1
78    278          1               0                   1
148   280          1               0                   0
164   280          1               0                   1
239   281          1               0                   1
79    282          1               0                   4
2     282          1               0                   1
114   283          1               0                   1
129   284          1               0                   1
182   294          1               0                   0
253   294          1               0                   2
184   294          1               0                   1
211   297          1               0                   0
126   298          1               0                   0
228   301          1               0                   0
91    302          1               0                   0
200   303          1               0                   0
139   304          1               0                   0
95    306          1               0                   0
158   314          1               0                   0
11    316          1               0                   0
167   320          1               0                   0
159   322          1               0                   0
