id   arriveTime   executionTime   executionTimeLeft   waitTime
23   2            6               0                   0
25   2            12              0                   12
5    7            6               0                   1
17   10           16              0                   274
27   15           16              0                   33
18   15           14              0                   11
42   44           8               0                   0
63   54           15              0                   113
62   62           14              0                   7
40   65           5               0                   0
38   65           15              0                   19
15   84           14              0                   19
12   89           1               0                   0
44   101          4               0                   0
36   118          3               0                   0
6    118          5               0                   3
13   125          12              0                   1
2    137          10              0                   1
30   150          10              0                   8
24   151          7               0                   0
57   161          1               0                   0
41   172          2               0                   0
43   173          10              0                   9
14   184          12              0                   43
39   190          8               0                   2
28   200          5               0                   0
19   202          11              0                   3
54   214          8               0                   5
51   215          3               0                   1
48   229          13              0                   10
0    250          8               0                   2
20   252          12              0                   8
45   280          7               0                   5
33   281          4               0                   1
32   282          1               0                   0
49   282          9               0                   18
16   307          3               0                   2
31   314          9               0                   0
1    336          14              0                   1
37   338          1               0                   0
26   347          10              0                   13
4    347          9               0                   4
61   368          10              0                   2
60   373          11              0                   19
22   378          16              0                   60
21   383          6               0                   0
34   383          16              0                   29
52   383          6               0                   6
11   397          9               0                   6
58   422          8               0                   6
56   439          16              0                   112
10   441          1               0                   0
47   450          1               0                   0
55   451          13              0                   10
46   451          7               0                   3
50   475          10              0                   9
3    478          2               0                   0
9    479          2               0                   1
29   481          5               0                   1
59   483          12              0                   11
7    500          13              0                   39
35   503          12              0                   24
53   506          10              0                   0
8    512          11              0                   4
