id    timesUsed   pageFaultAt                                                                                    swappedOutAt
32    0           [16 200 369 641 747]                                                                           [17 201 370 642 749]
104   0           [419 924]                                                                                      [420 926]
88    0           [63 180 317 374 481 486 614 728 737 739 784 845 973]                                           [64 181 319 375 482 488 615 729 738 741 785 846 974]
53    0           [37 169 173 234 300 311 321 388 482 511 594 648 758 764 834 915 963]                           [38 171 174 235 301 312 322 391 483 512 595 649 759 765 835 917 965]
13    0           [182]                                                                                          [183]
28    0           [432 619 776 782 1010]                                                                         [433 620 777 783 1011]
84    0           [17 156 214 228 337 425 456 527 601 656 659 686 702 704 846 898 1020]                          [18 157 215 229 338 426 458 528 602 658 660 687 703 705 847 899 1021]
108   0           [25]                                                                                           [27]
23    0           [93 742 799 833 861]                                                                           [94 743 800 834 862]
114   0           [649]                                                                                          [650]
9     0           [1006]                                                                                         [1007]
76    0           [36 84 99 132 379 507 716 754 859 972]                                                         [37 86 100 133 380 509 717 755 860 973]
99    0           [183 437 680]                                                                                  [184 439 681]
38    0           [95 342 490 552 769 811 868 982 1008]                                                          [96 343 491 553 770 812 870 984 1009]
102   0           [109 664 841]                                                                                  [111 665 844]
85    0           [51 119 188 319 341 613 666 693 712 714 877 999]                                               [52 121 189 320 342 614 667 694 713 715 879 1001]
100   0           [133 177 394 563 570 623 828 894]                                                              [134 180 395 564 574 624 829 895]
29    0           [225 343 853 1005]                                                                             [228 345 854 1006]
17    0           [44 471]                                                                                       [45 472]
92    0           [54 685 763 839 882 914 966]                                                                   [55 686 764 841 883 915 967]
8     0           [862]                                                                                          [863]
21    0           [96 365 595]                                                                                   [97 366 596]
87    0           [71 82 153 194 238 333 472 504 658 667 694 912 988 1011]                                       [72 83 155 195 239 335 474 505 659 668 695 914 989 1012]
70    0           [134 136 196 251 414 574 795 814 928]                                                          [135 137 197 254 415 575 796 815 931]
0     0           [139 163]                                                                                      [140 164]
2     0           [488 994]                                                                                      [489 995]
105   0           [976]                                                                                          [979]
54    15          [6]                                                                                            []
80    13          [9]                                                                                            []
65    22          [10]                                                                                           []
52    11          [12]                                                                                           []
75    19          [1]                                                                                            []
78    21          [2]                                                                                            []
93    9           [7]                                                                                            []
73    16          [8]                                                                                            []
83    17          [11]                                                                                           []
59    22          [40 77 81 204]                                                                                 [41 80 82]
66    21          [3]                                                                                            []
50    19          [4]                                                                                            []
57    15          [13]                                                                                           []
61    25          [14]                                                                                           []
46    1           [33 114 551 661 727 738 768 860 888 967 1023]                                                  [34 115 552 663 728 739 769 861 891 969]
72    17          [0]                                                                                            []
