id,timesUsed,pageFaultAt,swappedOutAt
102,0,[109 664 841],[129 685 862]
74,0,[50 124 217 313 474 529 632 689 720 781 849],[71 146 241 337 491 551 655 708 741 800 870]
44,0,[52 86 209 363 476 559 635 816 917],[73 106 229 382 493 580 657 837 937]
66,0,[3 110 167 222 332 353 421 539 625 726 762 808 857 878 904 939],[20 130 185 245 352 372 440 561 649 748 779 830 875 896 925 965]
25,0,[20 436],[39 454]
40,0,[149 199 268 295 376 505 567 638 674 695 786 827 880 974 1003],[166 217 289 323 397 525 588 658 692 717 805 849 898 990 1022]
42,0,[42 197 290 330 362 448 553 705],[61 215 316 349 381 469 574 724]
104,0,[419 924],[438 946]
35,0,[41 158 230 326 500],[59 176 253 346 522]
30,0,[46 338 533 627 710],[65 360 556 652 729]
17,0,[44 471],[63 488]
122,0,[151],[167]
16,0,[483 798],[504 819]
77,0,[140 410 592 723 755 785 935 993],[158 429 613 744 773 803 959 1014]
120,0,[72],[93]
128,0,[5],[22]
97,0,[141 717],[159 735]
88,0,[63 180 317 374 481 614 728 784 845 973],[84 198 340 395 500 641 750 801 866 989]
106,0,[111 911],[132 930]
27,0,[181 201 243 375 480 568 789],[199 220 261 396 499 589 809]
98,0,[356 778 896],[374 797 919]
22,0,[55 445 582],[76 467 601]
26,0,[599 951],[623 974]
76,0,[36 84 132 379 507 716 754 859 972],[52 104 152 400 527 734 772 877 988]
117,0,[439],[458]
109,0,[76 405 564],[96 424 583]
13,0,[182],[200]
80,0,[9 198 273 296 340 385 430 465 499 609 671],[28 216 292 324 362 406 450 482 521 634 690]
126,0,[185],[203]
63,0,[65 152 213 239 270 357 378 418 566 616 757 779],[86 168 235 258 290 375 399 437 587 644 775 798]
85,0,[51 119 188 319 613 666 693 877 999],[72 141 205 342 638 686 715 895 1019]
47,0,[241 276 304 424 492 520 596 621 675 707 736 884],[260 296 332 444 514 538 619 646 693 726 757 902]
100,0,[133 177 394 563 623 828 894],[153 195 416 582 647 851 917]
115,0,[576],[594]
