id,timesUsed,pageFaultAt,swappedOutAt
24,0,[83 187 255 273 275 323 379 391 449 494],[93 188 256 274 277 325 381 393 450 498]
2,0,[26 268 277 375 460],[31 273 295 379 466]
4,0,[8 191 367 488],[78 200 375 494]
5,0,[119 218 297 408],[120 219 298 416]
29,0,[363],[367]
3,0,[450],[451]
0,0,[108 416],[111 435]
26,0,[7 161 201 339 387],[47 169 210 354 391]
30,0,[6],[82]
28,0,[467],[468]
27,0,[25 49 169 230 234],[40 52 173 232 235]
10,0,[82 93 120 188 200 219 260 295 321 354 393 405 448 455 466 471 499],[83 103 136 191 201 226 268 297 322 356 397 408 449 460 467 488 508]
25,0,[103 136 210 235 325 356 381 397 435],[108 149 218 255 339 360 387 405 448]
6,0,[173 298],[174 303]
1,0,[303],[321]
32,0,[256],[257]
17,37,[1],[]
12,15,[9],[]
18,43,[10],[]
13,35,[16],[]
11,32,[22],[]
9,24,[24],[]
15,34,[47 52 78],[49 56]
20,34,[0],[]
7,8,[2],[]
21,1,[111 149 174 226 232 257 274 322 360 451 468 498 508],[119 161 187 230 234 260 275 323 363 455 471 499]
19,32,[4],[]
16,42,[5],[]
23,13,[56],[]
8,12,[31],[]
22,21,[11],[]
14,38,[40],[]
