id    arriveTime   executionTime   executionTimeLeft   waitTime
0     0            18              0                   1268
1     0            16              0                   1025
2     0            3               0                   39
3     0            13              0                   638
4     0            6               0                   134
5     0            8               0                   263
6     0            20              0                   1747
7     0            28              0                   3118
8     0            13              0                   599
9     0            11              0                   507
10    0            16              0                   993
11    0            4               0                   67
12    0            24              0                   2228
13    0            22              0                   2066
14    0            12              0                   587
15    0            5               0                   99
16    0            2               0                   24
17    0            18              0                   1214
18    0            29              0                   3288
19    0            21              0                   1808
20    0            14              0                   801
21    0            2               0                   12
22    0            10              0                   391
23    0            28              0                   2978
24    0            6               0                   164
25    0            3               0                   54
26    0            21              0                   1892
27    0            11              0                   529
28    0            8               0                   279
29    0            17              0                   1075
30    0            14              0                   731
31    0            2               0                   10
32    0            3               0                   30
33    0            10              0                   361
34    0            9               0                   287
35    0            20              0                   1567
36    0            20              0                   1587
37    0            2               0                   14
38    0            2               0                   16
39    0            27              0                   2923
40    0            19              0                   1413
41    0            26              0                   2580
42    0            7               0                   182
43    0            8               0                   247
44    0            10              0                   401
45    0            25              0                   2277
46    0            21              0                   1871
47    0            4               0                   63
48    0            3               0                   57
49    0            22              0                   1978
50    0            22              0                   2000
51    0            28              0                   3062
52    0            30              0                   3493
53    0            1               0                   0
54    0            13              0                   677
55    0            4               0                   79
56    0            27              0                   2869
57    0            25              0                   2427
58    0            26              0                   2658
59    0            4               0                   83
60    0            10              0                   421
61    0            1               0                   8
62    0            4               0                   91
63    0            1               0                   1
64    0            20              0                   1527
65    0            1               0                   2
66    0            26              0                   2528
67    0            15              0                   872
68    0            27              0                   2815
69    0            30              0                   3673
70    0            1               0                   3
71    0            13              0                   625
72    0            15              0                   902
73    0            6               0                   146
74    0            1               0                   5
75    0            8               0                   239
76    0            19              0                   1394
77    0            31              0                   3824
78    0            1               0                   6
79    0            15              0                   917
80    0            18              0                   1286
81    0            14              0                   773
82    0            23              0                   2111
83    0            30              0                   3433
84    0            25              0                   2302
85    0            26              0                   2632
86    0            3               0                   45
87    0            3               0                   48
88    0            30              0                   3733
89    0            20              0                   1547
90    0            13              0                   651
91    0            20              0                   1667
92    0            28              0                   3090
93    0            25              0                   2252
94    0            22              0                   2044
95    0            1               0                   9
96    0            8               0                   255
97    0            2               0                   20
98    0            23              0                   2157
99    0            19              0                   1470
100   0            6               0                   158
101   0            17              0                   1109
102   0            18              0                   1358
103   0            26              0                   2736
104   0            18              0                   1322
105   0            9               0                   314
106   0            8               0                   271
107   0            29              0                   3346
108   0            15              0                   947
109   0            2               0                   22
110   0            18              0                   1376
111   0            9               0                   323
112   0            7               0                   217
113   0            9               0                   332
114   0            7               0                   210
115   0            20              0                   1627
116   0            19              0                   1489
117   0            6               0                   176
118   0            13              0                   690
119   0            29              0                   3230
120   0            21              0                   1913
121   0            23              0                   2134
122   0            10              0                   431
123   0            27              0                   2788
124   0            2               0                   28
125   0            15              0                   887
126   0            32              0                   3982
127   0            1               0                   4
128   0            21              0                   1787
129   0            15              0                   857
130   0            18              0                   1160
131   0            29              0                   3375
132   0            5               0                   104
133   0            10              0                   351
134   0            18              0                   1178
135   0            3               0                   33
136   0            8               0                   231
137   0            28              0                   3202
138   0            32              0                   3918
139   0            5               0                   109
140   0            11              0                   441
141   0            10              0                   371
142   0            11              0                   452
143   0            23              0                   2088
144   0            20              0                   1607
145   0            14              0                   717
146   0            28              0                   2950
147   0            28              0                   3006
148   0            13              0                   612
149   0            18              0                   1232
150   0            11              0                   463
151   0            11              0                   474
152   0            11              0                   485
153   0            18              0                   1250
154   0            16              0                   977
155   0            3               0                   36
156   0            14              0                   759
157   0            18              0                   1196
158   0            31              0                   3793
159   0            14              0                   787
160   0            18              0                   1304
161   0            5               0                   114
162   0            10              0                   381
163   0            26              0                   2606
164   0            3               0                   42
165   0            19              0                   1432
166   0            26              0                   2684
167   0            11              0                   496
168   0            30              0                   3463
169   0            22              0                   1934
170   0            12              0                   551
171   0            5               0                   119
172   0            6               0                   152
173   0            2               0                   18
174   0            30              0                   3703
175   0            28              0                   3174
176   0            21              0                   1850
177   0            20              0                   1647
178   0            25              0                   2327
179   0            15              0                   932
180   0            30              0                   3763
181   0            30              0                   3643
182   0            1               0                   7
183   0            25              0                   2402
184   0            12              0                   563
185   0            29              0                   3404
186   0            3               0                   51
187   0            16              0                   1009
188   0            25              0                   2352
189   0            17              0                   1092
190   0            28              0                   3146
191   0            9               0                   296
192   0            20              0                   1687
193   0            22              0                   1956
194   0            7               0                   189
195   0            32              0                   3950
196   0            9               0                   305
197   0            14              0                   829
198   0            13              0                   664
199   0            10              0                   411
200   0            27              0                   2896
201   0            4               0                   71
202   0            20              0                   1707
203   0            30              0                   3523
204   0            11              0                   518
205   0            7               0                   196
206   0            12              0                   575
207   0            25              0                   2377
208   0            32              0                   4046
209   0            18              0                   1340
210   0            32              0                   3886
211   0            14              0                   815
212   0            26              0                   2710
213   0            7               0                   203
214   0            31              0                   3855
215   0            30              0                   3583
216   0            15              0                   962
217   0            30              0                   3553
218   0            25              0                   2452
219   0            22              0                   2022
220   0            6               0                   170
221   0            19              0                   1508
222   0            20              0                   1767
223   0            5               0                   124
224   0            3               0                   60
225   0            24              0                   2204
226   0            28              0                   3034
227   0            17              0                   1126
228   0            19              0                   1451
229   0            17              0                   1058
230   0            21              0                   1829
231   0            26              0                   2762
232   0            32              0                   4014
233   0            20              0                   1727
234   0            5               0                   129
235   0            27              0                   2842
236   0            2               0                   26
237   0            25              0                   2477
238   0            29              0                   3259
239   0            4               0                   75
240   0            29              0                   3317
241   0            7               0                   224
242   0            10              0                   341
243   0            24              0                   2180
244   0            26              0                   2554
245   0            11              0                   540
246   0            14              0                   745
247   0            17              0                   1143
248   0            30              0                   3613
249   0            17              0                   1041
250   0            4               0                   87
251   0            4               0                   95
252   0            6               0                   140
253   0            26              0                   2502
254   0            14              0                   843
255   0            14              0                   703
