id   arriveTime   executionTime   executionTimeLeft   waitTime
48   7            23              0                   0
62   9            24              0                   675
13   20           2               0                   10
57   25           22              0                   7
21   35           2               0                   19
29   49           19              0                   7
26   54           23              0                   607
3    58           4               0                   24
23   61           21              0                   116
47   64           2               0                   11
50   65           3               0                   14
17   66           2               0                   11
27   67           6               0                   19
43   72           12              0                   47
28   73           10              0                   33
12   84           9               0                   8
5    88           28              0                   695
37   96           5               0                   5
15   101          15              0                   45
11   105          24              0                   627
40   110          3               0                   6
9    115          15              0                   16
33   120          16              0                   41
60   155          23              0                   43
46   199          17              0                   37
0    199          15              0                   22
32   224          29              0                   587
31   244          32              0                   627
24   250          15              0                   3
55   256          3               0                   12
44   265          18              0                   45
35   266          11              0                   5
14   275          16              0                   7
45   291          22              0                   56
56   295          12              0                   3
19   324          8               0                   4
6    327          11              0                   9
36   335          24              0                   373
63   340          23              0                   298
42   357          22              0                   259
59   363          4               0                   6
51   370          12              0                   35
7    373          8               0                   0
34   377          19              0                   118
1    379          4               0                   2
20   381          9               0                   4
2    389          10              0                   5
53   392          21              0                   160
49   396          1               0                   8
58   397          12              0                   45
18   413          6               0                   7
22   414          3               0                   3
38   420          7               0                   6
25   421          17              0                   37
39   422          27              0                   334
30   429          9               0                   4
10   445          4               0                   9
16   452          18              0                   23
41   467          31              0                   373
54   468          21              0                   105
4    469          22              0                   125
52   491          2               0                   2
8    491          19              0                   23
61   511          19              0                   22
