id,timesUsed,pageFaultAt,swappedOutAt
30,0,[6],[56]
5,0,[119 218 297 408],[196 268 331 462]
0,0,[108 416],[182 466]
25,0,[103 210 325 381 435],[161 262 363 432 478]
32,0,[256],[311]
8,0,[31 124 294 334 402],[107 206 328 377 451]
23,0,[56 224 285 328 427],[119 280 325 367 470]
1,0,[303],[334]
6,0,[173 298],[228 332]
29,0,[363],[405]
27,0,[25 169 230],[104 226 296]
26,0,[7 161 339 387],[59 224 381 433]
10,0,[82 188 260 321 354 405 466],[131 239 312 351 399 460 511]
2,0,[26 268 375 460],[106 321 417 495]
3,0,[450],[488]
18,0,[10 84 155 228 304 345 403 465],[82 140 223 294 337 394 453 500]
4,0,[8 191 367 488],[60 252 408]
11,0,[22 129 217 269 324 395 462 500],[88 210 267 322 360 444 498]
13,0,[16 88 206 330 373 418 470],[84 155 256 372 416 469]
28,0,[467],[]
7,0,[2 69 182 267 453 511],[45 129 236 318 494]
15,0,[47 127 252 318 357 433 484],[112 209 304 347 402 477]
20,0,[0 60 131 223 296 351 415 477],[31 127 217 270 330 396 465]
19,0,[4 51 140 236 309 342 396 478],[47 118 220 297 339 387 449]
17,0,[1 45 118 196 262 337 388 437 485],[40 111 191 255 314 379 435 481]
24,0,[83 187 255 323 379 449 494],[134 237 309 357 427 485]
22,0,[11 106 178 280 332 377 469],[83 173 230 324 375 418]
16,0,[5 59 134 220 270 331 417 474],[51 124 218 269 323 373 467]
14,0,[40 112 237 314 347 399 481],[108 188 298 345 395 450]
9,0,[24 107 239 311 344 394 444 489],[103 178 303 342 388 437 484]
12,0,[9 104 209 312 372 432 495],[69 169 260 344 415 474]
21,0,[111 226 322 360 451 498],[187 285 354 403 489]
